Category,Question
Process Model,What percentage of the execution time is spent on reexecuting tasks?
Event Log Data,What are transitions with the largest mean execution time?
Event Log Data,What transitions had the largest standard deviation?
Analysis,Highlight the bottleneck activities and their potential root causes.
Event Log Data,What variant of the process takes the longest?
Analysis,What is the cause of the slow cases?
Event Log Data,What were the longest execution times and their causes?
Analysis,What cases have slow transitions and the largest number of bottlenecks?
Event Log Data,How many variants have an execution time bigger than 3 days?
Event Log Data,What activities take most of the time?
Event Log Data,What is the average duration of the transitions?
Analysis,In what activities are the 2 biggest bottlenecks of the process?
Event Log Data,Which activity has the biggest execution time?
Event Log Data,How do I filter only the slowest cases?
Event Log Data,What activities take the longest?
Event Log Data,Which trace took the longest?
Event Log Data,Which activities have a variation of 50% or more in the conclusion time compared to yesterday?
Event Log Data,What are the main similar atributes among the fastest and slowest cases?
Event Log Data,Identify all the slow transitions in the model.
Analysis,What is the probability of bottleneck in the activity A?
Event Log Data,Is there any suggestion on shortcuts for slow transitions based on the quickest cases?
Analysis,In which activity is the biggest bottleneck of a case?
Event Log Data,"How much time does a case take, in average?"
Event Log Data,Which processes took the most time in the last 4 weeks?
Event Log Data,What takes the most time in my execution flow?
Event Log Data,What cases take the longest and what is their frequency?
Analysis,What are the probable causes of this bottleneck?
Event Log Data,What is the average execution time?
Process Model,What is the total amount of time of the activities that execute a self-loop?
Analysis,How many cases pass through the 3 slowest bottlenecks of the process?
Event Log Data,What is the fastest and the slowest throughput?
Process Model,What time percentage is spent in task repetition?
Event Log Data,What transitions have the greatest time average?
Event Log Data,What transitions have the greatest standard deviations?
Analysis,Identify the activities considered bottlenecks and its possible root causes.
Event Log Data,Which variant generates the longest time?
Analysis,For what reason are some cases slow?
Event Log Data,What are the biggest executions time and what are the causes?
Analysis,Which cases have the most bottlenecks and the slowest transitions?
Event Log Data,How many variants are there with an average time of 3 days or over?
Event Log Data,Which activities take the longest time?
Event Log Data,What is the ideal duration for case X
Advanced Analysis,What is the most probable path for incomplete activities?
Advanced Analysis,"I’ve just finished task X, which is the next task I should work on?"
Advanced Analysis,"Given activity A, which activity should I work on?"
Event Log Data,Which instance is the most overdue?
Advanced Analysis,When are incomplete instances predicted to finish?
Advanced Analysis,What is the estimated completion time for case X?
Advanced Analysis,What is the lowest predicted cost and time to complete case X?
Advanced Analysis,When is the ongoing A activity predicted to complete?
Advanced Analysis,What is the hit probability and standard deviation for a completion time prediction?
Advanced Analysis,What is the predicted completion time for process X that is currently running activity A?
Advanced Analysis,What activity is the most likely to happen after activity A?
Advanced Analysis,When will case X finish?
Advanced Analysis,What processes will finish successfully by the end of the day? given the results of day x?
Advanced Analysis,How would my process behave if I remove task A?
Advanced Analysis,Where may this instance hit a bottleneck before it completes?
Advanced Analysis,What is the probability of instance X executing task A?
Advanced Analysis,Do I need to intervene in any running case?
Advanced Analysis,What is the probability that the running case takes more time to finish than the current average completion time observed in the log?
Advanced Analysis,How much time will the next activity add to the total time?
Advanced Analysis,Which ongoing process instances are likely to execute task A in the future?
Advanced Analysis,Which cases are predicted to have nonconformances?
Advanced Analysis,What activities are more likely to run into nonconformances?
Advanced Analysis,Which cases will take longer than average?
Advanced Analysis,"What is the expected duration for a case, considering it already have some completed activities?"
Advanced Analysis,What will be the next activity and what resources will it require?
Advanced Analysis,How many cases may run into bottlenecks according to the most common path?
Advanced Analysis,What share of instances will fail? What share of failed instances were predicted to succeed? Error rate between the actual and predicted processes?
Advanced Analysis,What is the expected completion time for the cases that are running for more than 1 week?
Advanced Analysis,Will this case be approved in a day?
Event Log Data,How long should case X take?
Advanced Analysis,What is the most probable path for incomplete cases?
Advanced Analysis,Which activity should I work on after activity A is completed?
Event Log Data,Which instances are late?
Advanced Analysis,What is the predicted completion time for case X that is currently running activity A?
Advanced Analysis,What cases will finish successfully by the end of the day?
Advanced Analysis,Which ongoing cases have nonconformances?
Advanced Analysis,What cases are more likely to have nonconformances?
Advanced Analysis,Show me all inaccurate predictions we do.
Advanced Analysis,How long is case x expected to take?
Advanced Analysis,What will be the next activity for case X and what resources will it require?
Advanced Analysis,How many cases are predicted to run into bottlenecks?
Advanced Analysis,What share of instances will fail? What share of failed instances were predicted to succeed? What is the prediction error rate?
Advanced Analysis,Will this case be completed today?
Event Log Data,What is the ideal time for case X?
Advanced Analysis,What is the most probable path for the incomplete activities?
Advanced Analysis,"I just executed activity X, what is the next task I should execute?"
Advanced Analysis,"Given activity A, what activity should I do?"
Event Log Data,What instance is late for its conclusion?
Advanced Analysis,"Considering unfinished instances, according to the mean time, what is the prediction to complete?"
Advanced Analysis,What is the estimate to finish case X?
Advanced Analysis,What is the minimum predicted time and cost to finish this case?
Advanced Analysis,What is the prediction for ending the ongoing A activity?
Advanced Analysis,What is the confidence and the standard deviation of the time prediction to finish one case?
Advanced Analysis,What is the prediction to finish process X that is in activity A?
Advanced Analysis,What is the most likely activity to happen after activity A?
Advanced Analysis,When will case X finish?
Advanced Analysis,"What processes will finish successfully today, given the results of day X?"
Advanced Analysis,How does my process behave if we remove task A?
Advanced Analysis,Where may this instance have a bottleneck until its conclusion?
Advanced Analysis,What is the probability of instance X to execute task A?
Advanced Analysis,Do I need to intervene on any ongoing case?
Advanced Analysis,What is the probability that the case finishes later than the average duration time in the log?
Advanced Analysis,How much time will the next activity increase in the overall duration?
Advanced Analysis,What ongoing process instances indicate the execution of task A?
Advanced Analysis,What are the activities with more chances of becoming a non-conformance?
Advanced Analysis,"For all wrong predictions, show me a list with probability of the activity actually happening, order by smallest to biggest probability."
Advanced Analysis,What cases will exceed the mean duration?
Advanced Analysis,"What is the expected duration of a case, considering the case had already executed some activities?"
Advanced Analysis,What will the next activity be and what resources will it involve?
Advanced Analysis,How many cases may face bottlenecks according to the most common path observed?
Advanced Analysis,What is expectation for finishing the cases that are open for over 1 week?
Advanced Analysis,Will this case ever be approved?
Event Log Data,What is the ideal time to case X?
Advanced Analysis,What is the most propable path for the incomplete activities?
Advanced Analysis,Which activity should I execute immediately after activity X?
Advanced Analysis,"Given activity A, which activity should I execute?"
Event Log Data,Which instance is the most late?
Advanced Analysis,What is the conclusion estimate for case X?
Advanced Analysis,What is the minimum cost and time prediction for the conclusion of the case?
Advanced Analysis,What is the conclusion prediction of activity A?
Advanced Analysis,What is the hit and standard deviation probability of a conclusion time prediction?
Advanced Analysis,What is the conclusion prediction of the process X in the activity Y?
Advanced Analysis,Which activity is the most likely to happen after activity X?
Advanced Analysis,When will case X be concluded?
Advanced Analysis,Which processes will be concluded sucssesfully by the end of today?
Advanced Analysis,What would my process look like without activity X?
Advanced Analysis,Where can this instance have a bottleneck?
Advanced Analysis,What is the probability of instance X execute activity A?
Advanced Analysis,Can I interfere in an case still in progress?
Advanced Analysis,What is the chance that this case will be concluded above the average time of the log?
Advanced Analysis,How much will the next activity increase the total time?
Advanced Analysis,Which instances of the process indicate the future execution of task A?
Advanced Analysis,Which activities have the greatest chance of a conformancy deviation?
Advanced Analysis,Show me a ranked list of the probability that the real activity may happen for each wrong prediction.
Advanced Analysis,Which cases excede the average time?
Advanced Analysis,What is the expected duration of a case?
Advanced Analysis,What will be the next activity and which resources does it involve?
Advanced Analysis,How many cases may present bottlenecks according to the most common trace?
Advanced Analysis,What is the percentage of instances may fail? What percentage of instances were predicted as success but failed? What is the percentage of error between the real process and the predictions?
Advanced Analysis,What is the conclusion expectation for the cases opened over a week ago?
Advanced Analysis,Will this case be approved in one day?
